persian_word,persian_word_eraab,english_word
ابر,اَبر,cloud
ابر,اَبَر,super
اخوان,اِخْوان,brotherhood
ارگ,اَرگ,citadel
ارگ,اُرگ,organ
اشکال,اَشکال,bug
اشکال,اَشکال,difficulty
اشکال,اَشکال,drawback
اشکال,اَشکال,disadvantage
اشکال,اِشکال,shape
اعمال,اَعمال,action
اعمال,اِعمال,apply
اپل,اَپِل,apple
اپل,اِپُل,epaulet
اپل,اِپُل,epaulette
برس,بِرِس,arrive
برس,بُرِس,brush
بعد,بَعد,next
بعد,بَعد,then
بعد,بَعد,subsequent
بعد,بُعد,dimension
بلا,بَلا,trouble
بن,بُن,root
بن,بُن,bottom
بن,بُن,basement
بن,بِن,ben
بن,بِن,bin
بهت,بُهْت,bewilderment
بهت,بُهْت,consternation
بهت,بُهْت,perplex
بهت,بُهْت,stupor
ترک,تَرَک,crack
ترک,تَرَک,fracture
ترک,تَرْک,quit
ترک,تَرْک,leave
ترک,تَرْک,abandonment
ترک,تُرْک,turk
تست,تُسْت,toast
تست,تِسْت,test
تنگ,تَنگ,tight
تنگ,تَنگ,narrow
تنگ,تَنگ,close
تنگ,تَنگ,decanter
تنگ,تَنگ,strait
تنگ,تُنگ,tank
تک,تَک,single
تک,تَک,one
تک,تَک,individual
تک,تَک,mono
تک,تَک,uni
تک,تَک,solo
تک,تَک,lone
تک,تَک,singular
تک,تَک,solitary
تک,تُک,beak
تک,تِک,tech
جستن,جَستَن,leap
جستن,جَستَن,jump
جستن,جَستَن,hip
جستن,جَستَن,scoot
جستن,جُستَن,search
جستن,جُستَن,find
جم,جُم,mov
حسن,حَسَن,hasan
حسن,حَسَن,hassan
حسن,حُسْن,beauty
حسن,حُسْن,advantage
حسن,حُسْن,goodness
حسن,حُسْن,wellness
حشر,حَشَر,intimacy
حشر,حَشَر,horn
خر,خَر,donkey
خر,خَر,ass
خر,خَر,fool
خر,خِر,dickey
خر,خِر,dicky
خلق,خَلْق,creation
خلق,خَلْق,people
خلق,خَلْق,nation
خلق,خَلْق,invention
خلق,خَلْق,invent
خلق,خَلْق,folk
خلق,خُلْق,mood
ده,دَه,ten
ده,دِه,village
دور,دور,away
دور,دور,distant
دور,دور,remote
دور,دُور,round
دور,دُور,circle
دور,دُور,around
دور,دُور,cycle
دور,دُور,orbit
دوران,دَوَران,rotation
دوران,دَوَران,revolution
دوران,دَوَران,circulation
دوران,دَوَران,vertigo
دوران,دوران,era
دوران,دوران,season
دوران,دوران,race
دین,دِیْن,faith
دین,دِیْن,debt
دین,دِیْن,liability
دین,دین,religion
رس,رُس,clay
رستن,رَسْتَن,escape
رستن,رُسْتَن,grow
رم,رَم,stampede
رم,رَم,scare
رم,رَم,breakaway
رم,رُم,rome
روش,رَوِش,method
روش,رَوِش,way
روش,رَوِش,procedure
روش,رَوِش,manner
روش,رَوِش,approach
روش,روش,on
روش,روش,over
روش,روش,upon
زبر,زِبَر,below
زبر,زِبَر,under
زبر,زِبَر,beneath
زبر,زِبَر,bottom
زبر,زِبَر,down
زبر,زِبْر,rough
زبر,زِبْر,bristly
زبر,زِبْر,stark
زبر,زِبْر,ragged
زبر,زِبْر,shaggy
زهره,زَهره,gall
زهره,زَهره,bile
زهره,زُهره,venus
زهره,زُهره,vesper
زهره,زُهره,zohre
زهره,زُهره,hesperus
زوار,زُوّار,pilgrim
زوار,زُوّار,visitant
زوار,زَوار,warden
سرور,سَروَر,master
سرور,سَروَر,chief
سرور,سَروَر,king
سرور,سَروَر,prince
سرور,سَروَر,leader
سرور,سَروَر,leader
سرور,سُرور,mirth
سرور,سُرور,delight
سرور,سُرور,joy
سرور,سِروِر,server
سیر,سِیر,process
سیر,سِیر,travel
سیر,سِیر,tour
سیر,سِیر,walk
سیر,سیر,garlic
سیر,سیر,satisf
سیر,سیر,full
سیر,سیر,sombre
شل,شَل,lame
شل,شَل,ramshackle
شل,شَل,handicap
شل,شُل,loose
شل,شُل,solute
شل,شُل,slack
شل,شُل,sleazy
شل,شُل,limp
شل,شُل,floppy
شکوه,شِکْوه,complaint
شکوه,شِکْوه,complain
شکوه,شِکْوه,plaint
شکوه,شُکوه,glory
شکوه,شُکوه,grandeur
شکوه,شُکوه,pomp
شکوه,شُکوه,magnitude
عالم,عالَم,world
عالم,عالَم,universe
عالم,عالَم,cosmos
عالم,عالِم,scientist
عالم,عالِم,erudite
غنا,غَنا,ghana
غنا,غِنا,rich
غنا,غِنا,wealth
غنا,غِنا,music
غنا,غِنا,sing
فر,فَر,splendor
فر,فَر,splendour
فر,فَر,gloria
فر,فِر,oven
فر,فِر,curl
فوت,فوت,foot
فوت,فوت,blow
فوت,فوت,puff
فوت,فُوت,death
فوت,فُوت,dead
فوت,فُوت,die
فوت,فُوت,dying
فوت,فُوت,decease
فوت,فُوت,pass|away
فوت,فُوت,demise
فک,فَک,jaw
فک,فَک,mandible
فک,فَک,maxilla
فک,فُک,seal
قسم,قَسَم,oath
قسم,قَسَم,persuation
قسم,قَسَم,adjuration
قسم,قِسْم,kind
قسم,قِسْم,sort
قسم,قِسْم,type
قسم,قِسْم,species
قسم,قِسْم,part
قطر,قُطْر,diagonal
قطر,قَطَر,qatar
لخت,لَخْت,lumpish
لخت,لَخْت,clod
لخت,لَخْت,lobe
لخت,لُخْت,naked
لخت,لُخْت,bare
لخت,لُخْت,nude
لم,لَم,lean
لم,لَم,loll
لم,لَم,lounge
لم,لِم,lemma
لم,لِم,trick
لنگ,لَنگ,lame
لنگ,لَنگ,cripple
لنگ,لِنگ,foot
لنگ,لِنگ,feet
لنگ,لِنگ,leg
مراجع,مَراجِع,reference
مراجع,مُراجِع,referr
مرد,مَرد,man
مرد,مَرد,guy
مرد,مَرد,fellow
مرد,مُرد,die
مرد,مُرد,dead
مرد,مُرد,demise
مرد,مُرد,pass|out
مرد,مُرد,pass|away
مرد,مُرد,perish
ملک,مَلَک,angel
ملک,مَلَک,saint
ملک,مِلْک,property
ملک,مِلْک,estate
ملک,مِلْک,realty
مهر,مُهر,seal
مهر,مُهر,stamp
مهر,مُهر,signet
مهر,مِهر,love
مهر,مِهر,affection
مهر,مِهر,october
مک,مَک,mac
مک,مَک,suck
مک,مُک,fixed
میل,مِیل,desire
میل,مِیل,linking
میل,مِیل,tendency
میل,مِیل,will
میل,میل,shaft
میل,میل,bar
میل,میل,rod
نقل,نَقل,quote
نقل,نَقل,transportation
نقل,نَقل,transfer
نقل,نَقل,story
نقل,نَقل,trasference
نقل,نُقل,sweet
هنگ‌کنگ,هُنگ‌کُنگ,hong kong
هل,هُل,push
هل,هُل,shove
هل,هُل,jostle
هل,هِل,hell
هل,هِل,cardamom
ولو,وَلو,though
پز,پَز,cook
پز,پُز,pose
پز,پُز,posture
پز,پُز,position
پست,پَست,inferior
پست,پَست,low
پست,پَست,despicable
پست,پَست,mean
پست,پَست,vile
پست,پُست,post
پست,پُست,mail
پله,پَله,money
پله,پَله,cash
پله,پِلِّه,stair
پله,پِلِّه,step
پهن,پَهْن,wide
پهن,پَهْن,broad
پهن,پَهْن,flat
پهن,پَهْن,large
پهن,پِهِن,muck
چک,چَک,slap
چک,چَک,skelp
چک,چِک,czech
چک,چِک,check
چک,چِک,cheque
کر,کَر,deaf
کر,کُر,choir
کر,کُر,chorus
کرم,کَرَم,benefaction
کرم,کَرَم,magnificence
کرم,کِرْم,worm
کرم,کِرْم,larva
کرم,کِرْم,helminth
کرم,کِرْم,phylloxera
کرم,کِرِم,cream
کره,کَره,butter
کره,کُره,korea
کره,کُره,sphere
کره,کُره,globe
کرک,کِرَک,crack
کرک,کُرْک,wool
کرک,کُرْک,fluff
کرک,کُرْک,pube
کشت,کُشت,kill
کشت,کُشت,murder
کشت,کُشت,assassinate
کشت,کِشت,cultivation
کشت,کِشت,tillage
کشت,کِشت,slew
کشتی,کُشتی,wrestle
کشتی,کِشتی,ship
کشتی,کِشتی,ark
کشتی,کِشتی,hulk
کشتی,کِشتی,prow
کفن,کَفْن,burial
کفن,کَفْن,interment
کفن,کَفْن,mortuary
کفن,کَفْن,sepulture
کفن,کَفْن,inhumation
کفن,کَفَن,shroud
کفن,کَفَن,cerecloth
کفن,کَفَن,cerement
کفن,کَفَن,graveclothe
کل,کَل,bald
کل,کَل,pilgarlic
کل,کُل,total
کلفت,کُلْفَت,maid
کلفت,کُلْفَت,servant
کلفت,کُلْفَت,moll
کلفت,کُلْفَت,biddy
کلفت,کُلُفت,thick
کلفت,کُلُفت,stocky
کلفت,کُلُفت,squatty
کلفت,کُلُفت,burly
کلفت,کُلُفت,heavyset
کلم,کَلَم,cabbage
کلم,کَلَّم,head
کند,کَند,dig
کند,کَند,peel
کند,کَند,pull
کند,کَند,cut|out
کند,کُنْد,slow
کند,کُنْد,sluggish
کند,کُنْد,lag
کند,کُنْد,lazy
کند,کُنْد,late
کند,کُنَد,does
کنده,کُنده,log
کنده,کُنده,chump
کنده,کُنده,timber
کنه,کَنه,tick
کک,کَک,flea
کک,کُک,cocaine
کک,کُک,coke
کک,کُک,crack
گرد,گَرد,powder
گرد,گَرد,flour
گرد,گُرد,hero
گرد,گِرد,round
گرد,گِرد,globular
گردان,گَردان,winch
گردان,گَردان,psychotropic
گردان,گُردان,battalion
گرم,گَرْم,warm
گرم,گَرْم,hot
گرم,گَرْم,thermal
گرم,گَرْم,peppery
گرم,گِرَم,gram
گزیده,گَزیده,bite
گزیده,گَزیده,bitten
گزیده,گُزیده,excerpt
گزیده,گُزیده,selective
گل,گُل,flower
گل,گُل,blossom
گل,گِل,mud
گل,گِل,clay
گل,گِل,silt
گل,گِل,slob
گله,گَلّه,flock
گله,گَلّه,herd
گله,گَلّه,drove
گله,گَلّه,covey
گله,گِله,grumble
گله,گِله,gripe
گله,گِله,discontent
گله,گِله,groan
گنگ,گَنگ,gang
گنگ,گُنگ,irrational
گنگ,گُنگ,absurd
گنگ,گُنگ,senseless
گوشت,گوشْت,meat
گوشت,گوشْت,flesh
گوشت,گوشِت,listen
گوشت,گوشِت,ear
می‌کند,می‌کَنَد,dig
می‌کند,می‌کَنَد,peel
می‌کند,می‌کَنَد,pull
می‌کند,می‌کَنَد,cut|out
می‌کند,می‌کُنَد,does
سحر,سِحر,magic
سحر,سِحر,witch
سحر,سِحر,enchantment
سحر,سِحر,sorcery
سحر,سِحر,charm
سحر,سَحَر,dawn